@relation training_data_sample_1000-weka.filters.unsupervised.attribute.Remove-R1

@attribute max_freq numeric
@attribute coeff1 numeric
@attribute coeff2 numeric
@attribute coeff3 numeric
@attribute coeff4 numeric
@attribute label {drop,fall,false}

@data
40.138053,40.138053,0.015805,0.015805,0.015805,drop
40.046587,40.046587,0.034766,0.034766,0.034766,drop
40.134302,40.134302,0,0,0,drop
40.056869,40.056869,0,0,0,drop
29.527568,29.527568,12.238028,7.850239,12.238028,drop
33.343236,33.343236,9.563191,12.598867,9.563191,drop
39.961136,39.961136,0.175206,0.172408,0.175206,drop
40.119105,40.119105,0.005541,0.005541,0.005541,drop
40.113564,40.113564,0,0,0,drop
40.106214,40.106214,0,0,0,drop
40.137877,40.137877,0,0,0,drop
33.813423,33.813423,4.949744,4.69542,4.949744,drop
21.936142,21.936142,8.400304,0.969103,8.400304,drop
27.853449,27.853449,9.152583,5.895055,9.152583,drop
40.126661,40.126661,0.045899,0.045899,0.045899,drop
40.076396,40.076396,0,0,0,drop
40.109232,40.109232,0,0,0,drop
40.093486,40.093486,0,0,0,drop
38.005369,38.005369,3.67765,2.342759,3.67765,drop
27.096453,27.096453,9.496722,0.898384,9.496722,drop
32.486314,32.486314,8.240072,8.797474,8.240072,drop
40.066074,40.066074,0.024641,0.009066,0.024641,drop
40.075948,40.075948,0,0,0,drop
40.045028,40.045028,0,0,0,drop
40.028706,40.028706,0,0,0,drop
22.910364,22.910364,3.871591,9.124961,3.871591,drop
27.147288,27.147288,7.977422,7.860705,7.977422,drop
39.144338,39.144338,0.97004,0.967246,0.97004,drop
40.179686,40.179686,0.021491,0.021491,0.021491,drop
40.222503,40.222503,0,0,0,drop
40.206909,40.206909,0,0,0,drop
40.318934,40.318934,0,0,0,drop
32.916543,32.916543,6.266393,6.990723,6.266393,drop
35.244861,35.244861,5.967137,6.119202,5.967137,drop
41.418586,41.418586,1.185533,0.022077,1.185533,drop
39.681284,39.681284,0.024349,0.024349,0.024349,drop
39.779515,39.779515,0,0,0,drop
39.656935,39.656935,0,0,0,drop
39.786698,39.786698,0,0,0,drop
40.134927,40.134927,0.01549,0.006272,0.01549,drop
39.770244,39.770244,0.294784,0.243265,0.294784,drop
38.71038,38.71038,0.867259,0.276922,0.867259,drop
38.420959,38.420959,0.614864,0.614864,0.614864,drop
38.38037,38.38037,0.655453,0.655453,0.655453,drop
39.543831,39.543831,0.031521,0.031521,0.031521,drop
39.047022,39.047022,0,0,0,drop
39.042639,39.042639,0,0,0,drop
42.709773,42.709773,2.233795,1.958738,2.233795,drop
34.430325,34.430325,9.28616,2.471637,9.28616,drop
33.538171,33.538171,7.778214,6.021001,7.778214,drop
41.524481,41.524481,0.493099,0.493099,0.493099,drop
40.746736,40.746736,0,0,0,drop
39.744204,39.744204,0,0,0,drop
39.208295,39.208295,0,0,0,drop
39.854689,39.854689,0,0,0,drop
40.235658,40.235658,5.511011,2.891508,5.511011,drop
32.401653,32.401653,2.982981,5.028845,2.982981,drop
39.744485,39.744485,7.619662,0.967844,7.619662,drop
43.113021,43.113021,3.005526,3.005526,3.005526,drop
41.15089,41.15089,0,0,0,drop
40.64884,40.64884,0,0,0,drop
40.473466,40.473466,0,0,0,drop
40.181067,40.181067,0,0,0,drop
40.432771,40.432771,0.107215,0.004372,0.107215,drop
40.756271,40.756271,0.123051,0.064424,0.123051,drop
40.767596,40.767596,0.011996,0.010327,0.011996,drop
40.754137,40.754137,0,0,0,drop
11.790902,11.790902,8.301283,7.708511,8.301283,drop
95.147003,95.147003,35.133004,26.167248,35.133004,drop
46.240223,46.240223,17.027503,17.027503,17.027503,drop
13.137607,13.137607,7.396337,7.775649,7.396337,drop
30.273164,30.273164,8.622976,7.123005,8.622976,drop
40.259057,40.259057,0.021559,0.018997,0.021559,drop
40.235209,40.235209,0,0,0,drop
35.83637,35.83637,12.009857,16.970429,12.009857,drop
30.291724,30.291724,4.451812,1.799473,4.451812,drop
38.683319,38.683319,0.232115,0.212177,0.232115,drop
38.93379,38.93379,0,0,0,drop
53.458866,53.458866,36.35642,0.074695,36.35642,drop
94.933747,94.933747,14.525384,12.816063,14.525384,drop
39.29903,39.29903,4.599466,6.413874,4.599466,drop
